Epoch,Loss,Accuracy
1,2.6246542930603027,0.30859375
2,1.8485137224197388,0.50390625
3,1.5469260215759277,0.5556640625
4,1.4313631057739258,0.583984375
5,1.3231197595596313,0.58984375
6,1.2593202590942383,0.615234375
7,1.199578881263733,0.640625
8,1.1484532356262207,0.6484375
9,1.1184022426605225,0.6533203125
10,1.0616018772125244,0.6572265625
11,1.054733157157898,0.673828125
12,1.0361813306808472,0.66015625
13,1.002387285232544,0.6904296875
14,0.9727097749710083,0.6943359375
15,0.946190595626831,0.7060546875
16,0.9285617470741272,0.69921875
17,0.9042479991912842,0.708984375
18,0.8892006278038025,0.73046875
19,0.8990642428398132,0.7099609375
20,0.8679081201553345,0.712890625
21,0.8423997163772583,0.7197265625
22,0.8536572456359863,0.7177734375
23,0.8497292995452881,0.72265625
24,0.8014051914215088,0.7412109375
25,0.8054624199867249,0.7421875
26,0.8010546565055847,0.740234375
27,0.7848690748214722,0.7392578125
28,0.7969176173210144,0.7490234375
29,0.762106716632843,0.7392578125
30,0.7744311094284058,0.75390625
31,0.7618635892868042,0.751953125
32,0.7538171410560608,0.767578125
33,0.7367950677871704,0.765625
34,0.7305915355682373,0.7685546875
35,0.7361776828765869,0.775390625
36,0.7087887525558472,0.76953125
37,0.7057980298995972,0.771484375
38,0.7147639393806458,0.759765625
39,0.7013912796974182,0.76171875
40,0.6608232259750366,0.7763671875
41,0.6789051294326782,0.7666015625
42,0.6527776718139648,0.7958984375
43,0.6385484933853149,0.7919921875
44,0.6729056239128113,0.783203125
45,0.6700224280357361,0.7724609375
46,0.6476311087608337,0.7783203125
47,0.6412299871444702,0.79296875
48,0.6144272089004517,0.80078125
49,0.6321274638175964,0.810546875
50,0.6240411996841431,0.802734375
51,0.6352411508560181,0.8037109375
52,0.6018390655517578,0.80859375
53,0.5919445753097534,0.8046875
54,0.5879950523376465,0.8056640625
55,0.5773767828941345,0.8125
56,0.5759729146957397,0.8115234375
57,0.5787304639816284,0.81640625
58,0.5855395793914795,0.8115234375
59,0.5638917088508606,0.80078125
60,0.5707706809043884,0.8193359375
61,0.5364975333213806,0.82421875
62,0.5508421063423157,0.8134765625
63,0.5537257194519043,0.82421875
64,0.5568457841873169,0.8232421875
65,0.5503592491149902,0.8310546875
66,0.5261679887771606,0.8291015625
67,0.5296213626861572,0.8271484375
68,0.5397326946258545,0.8154296875
69,0.5117455124855042,0.8251953125
70,0.48213493824005127,0.8466796875
71,0.49588656425476074,0.82421875
72,0.5288581848144531,0.8232421875
73,0.48485493659973145,0.8447265625
74,0.5048319101333618,0.833984375
75,0.5146587491035461,0.8359375
76,0.48906975984573364,0.833984375
77,0.505989134311676,0.82421875
78,0.48405221104621887,0.837890625
79,0.4867468476295471,0.8466796875
80,0.498159795999527,0.8310546875
